         4161579 function calls (4142587 primitive calls) in 1.701 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 /usr/local/lib/python3.9/site-packages/lark/lexer.py:292(_build_mres)
   641/27    0.001    0.000    0.002    0.000 /usr/local/Cellar/python@3.9/3.9.10/Frameworks/Python.framework/Versions/3.9/lib/python3.9/copy.py:128(deepcopy)
   185/27    0.000    0.000    0.002    0.000 /usr/local/lib/python3.9/site-packages/lark/tree.py:169(__deepcopy__)
     3919    0.002    0.000    0.002    0.000 /usr/local/lib/python3.9/site-packages/lark/parse_tree_builder.py:18(__call__)
       45    0.000    0.000    0.002    0.000 /usr/local/Cellar/python@3.9/3.9.10/Frameworks/Python.framework/Versions/3.9/lib/python3.9/sre_compile.py:598(_code)
   185/27    0.000    0.000    0.002    0.000 /usr/local/Cellar/python@3.9/3.9.10/Frameworks/Python.framework/Versions/3.9/lib/python3.9/copy.py:200(_deepcopy_list)
     5600    0.002    0.000    0.002    0.000 /usr/local/lib/python3.9/site-packages/lark/parsers/earley_forest.py:152(<listcomp>)
      880    0.001    0.000    0.002    0.000 /Users/tbarrett/dev/spreadsheet/sheets/graph.py:110(assign)
    11200    0.002    0.000    0.002    0.000 /usr/local/lib/python3.9/site-packages/lark/parsers/earley_forest.py:135(is_empty)
     4400    0.002    0.000    0.002    0.000 /usr/local/lib/python3.9/site-packages/lark/parsers/earley_forest.py:565(_call_ambig_func)
     1600    0.001    0.000    0.002    0.000 /usr/local/lib/python3.9/site-packages/lark/parsers/earley_forest.py:426(visit_token_node)
     2416    0.001    0.000    0.002    0.000 /usr/local/Cellar/python@3.9/3.9.10/Frameworks/Python.framework/Versions/3.9/lib/python3.9/typing.py:271(inner)
    14441    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
     2000    0.002    0.000    0.002    0.000 /usr/local/lib/python3.9/site-packages/lark/parsers/earley_forest.py:187(__init__)
        1    0.000    0.000    0.002    0.002 /usr/local/lib/python3.9/site-packages/lark/parsers/xearley.py:28(__init__)
        1    0.000    0.000    0.002    0.002 /usr/local/lib/python3.9/site-packages/lark/parsers/earley.py:24(__init__)
      108    0.000    0.000    0.002    0.000 /usr/local/lib/python3.9/site-packages/lark/tree.py:122(find_data)
      400    0.001    0.000    0.002    0.000 /usr/local/lib/python3.9/site-packages/lark/parsers/earley_forest.py:517(__init__)
      108    0.000    0.000    0.002    0.000 /usr/local/lib/python3.9/site-packages/lark/tree.py:118(find_pred)
    11200    0.002    0.000    0.002    0.000 /usr/local/lib/python3.9/site-packages/lark/parsers/earley_forest.py:542(_check_cycle)
        1    0.001    0.001    0.002    0.002 /usr/local/lib/python3.9/site-packages/lark/parsers/lalr_analysis.py:247(compute_lalr1_states)
       43    0.000    0.000    0.002    0.000 /usr/local/lib/python3.9/site-packages/lark/parsers/grammar_analysis.py:163(expand_rule)
        1    0.001    0.001    0.002    0.002 /usr/local/lib/python3.9/site-packages/lark/parsers/lalr_analysis.py:174(compute_reads_relations)
        2    0.000    0.000    0.002    0.001 /usr/local/lib/python3.9/site-packages/lark/parsers/lalr_analysis.py:92(digraph)
       30    0.000    0.000    0.002    0.000 /usr/local/lib/python3.9/site-packages/lark/lexer.py:95(min_width)
      402    0.001    0.000    0.002    0.000 /Users/tbarrett/dev/spreadsheet/sheets/graph.py:202(visit)
       60    0.000    0.000    0.002    0.000 /usr/local/lib/python3.9/site-packages/lark/lexer.py:90(_get_width)
   221/45    0.001    0.000    0.001    0.000 /usr/local/Cellar/python@3.9/3.9.10/Frameworks/Python.framework/Versions/3.9/lib/python3.9/sre_compile.py:71(_compile)
  216/166    0.001    0.000    0.001    0.000 /usr/local/lib/python3.9/site-packages/lark/parsers/lalr_analysis.py:111(traverse)
        1    0.000    0.000    0.001    0.001 /usr/local/lib/python3.9/site-packages/lark/load_grammar.py:687(<listcomp>)
    11221    0.001    0.000    0.001    0.000 {built-in method builtins.iter}
     9600    0.001    0.000    0.001    0.000 /usr/local/lib/python3.9/site-packages/lark/parsers/earley_forest.py:163(__hash__)
     9200    0.001    0.000    0.001    0.000 /usr/local/lib/python3.9/site-packages/lark/parsers/earley_forest.py:99(__hash__)
      402    0.001    0.000    0.001    0.000 /Users/tbarrett/dev/spreadsheet/sheets/graph.py:147(topological_sort_helper)
      813    0.001    0.000    0.001    0.000 /usr/local/lib/python3.9/site-packages/lark/parse_tree_builder.py:139(__call__)
      838    0.001    0.000    0.001    0.000 /Users/tbarrett/dev/spreadsheet/sheets/utils.py:7(absolute_location_to_location)
      347    0.000    0.000    0.001    0.000 /usr/local/lib/python3.9/site-packages/lark/parsers/grammar_analysis.py:170(_expand_rule)
     2412    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x102a25420}
      502    0.000    0.000    0.001    0.000 /usr/local/lib/python3.9/site-packages/lark/lexer.py:311(match)
      400    0.001    0.000    0.001    0.000 /Users/tbarrett/dev/spreadsheet/sheets/cell.py:154(cell)
      125    0.000    0.000    0.001    0.000 /usr/local/lib/python3.9/site-packages/lark/utils.py:19(classify)
     1819    0.001    0.000    0.001    0.000 /usr/local/lib/python3.9/site-packages/lark/grammar.py:116(__eq__)
       27    0.000    0.000    0.001    0.000 /usr/local/lib/python3.9/site-packages/lark/visitors.py:275(transform)
     3075    0.001    0.000    0.001    0.000 /usr/local/lib/python3.9/site-packages/lark/tree.py:54(__init__)
     5240    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
      202    0.000    0.000    0.001    0.000 /usr/local/lib/python3.9/site-packages/lark/parsers/lalr_analysis.py:156(<setcomp>)
